Question,Equation,Type
"along a yard number0 metres long , number1 trees are palnted at equal distances , one tree being at each end of the yard . what is the distance between two consecutive trees",/ number0  - number1  1,Physics
"the circumference of the front wheel of a cart is number0 ft long and that of the back wheel is number1 ft long . what is the distance traveled by the cart , when the front wheel has done number2 more revolutions than the rear wheel ?",* number0  + / * number0  number2  - number1  number0  number2,Physics
a boat moves upstream at the rate of number0 km in number1 minutes and down stream number0 km in number2 minutes . then the speed of the current is :,/ - * / number0  number2  60  * / number0  number1  60  2,Physics
how many times are the hands of a clock at right angle in number0 days ?,/ * * * 12  2  number0  - * 12  4  4  * 12  2,Physics
how long does a train number0 m long traveling at number1 kmph takes to cross a bridge of number2 m in length ?,/ + number0  number2  * number1  0.2778,Physics
a train number0 m long passes a platform number1 m long in number2 seconds . the speed of the train in m / sec is ?,/ + number0  number1  number2,Physics
a work which could be finished in number0 days was finished number1 days earlier after number2 more men joined . the number of men employed was ?,/ * * number1  2  number2  - number0  * number1  2,Physics
a can run number0 times as fast as b and gives b a start of number1 m . how long should the race course be so that a and b might reach in the same time ?,+ * number0  / / number1  number0  - number0  1  number1,Physics
what distance will be covered by a city bus moving at number0 kmph in number1 seconds ?,* * number0  0.2778  number1,Physics
a number0 meter long train crosses a man standing on the platform in number1 sec . what is the speed of the train ?,* / number0  number1  3_6,Physics
"a person travels equal distances with speeds of number0 km / hr , number1 km / hr , number1 km / hr . and takes a total time of number2 minutes . find the total distance ?",* * / / number2  60  + + / 1  number0  / 1  number1  / 1  number1  3  1000,Physics
"natasha climbs up a hill , and descends along the same way she went up . it takes her number0 hours to reach the top and number1 hours to come back down . if her average speed along the whole journey is number2 kilometers per hour , what was her average speed ( in kilometers per hour ) while climbing to the top ?",/ / * + number0  number1  number2  number1  number0,Physics
"mike drives his new corvette from san francisco to las vegas , a journey of number0 miles . he drives the first half of the trip at an average rate of number1 miles per hour , but has to slow down for the second half of his journey . if the second half of the trip takes him number2 percent longer than the first half , what is his average rate p in miles per hour for the entire trip ?",/ number0  + + * / / number0  2  number1  2  / / number0  2  number1  / / number0  2  number1,Physics
"a car traveling at a certain constant speed takes number0 seconds longer to travel number1 kilometer than it would take to travel number1 kilometer at number2 kilometers per hour . at what speed , in kilometers per hour , is the car traveling ?",/ number1  / + * 3600  / number1  number2  number0  3600,Physics
"an engineer undertakes a project to build a road number0 km long in number1 days and employs number2 men for the purpose . after number3 days , he finds only number4.number5 km of the road has been completed . find the ( approximate ) number of extra men he must employ to finish the work in time .",- / * * number2  - number0  number4.number5  number3  * number4.number5  - number1  number3  number2,Physics
"if the population of a certain country increases at the rate of two person every number0 seconds , by how many persons does the population increase in number1 minutes ?",* / 60  number0  number1,Physics
"number0 men have provisions for number1 days . if number2 more men join them , for how many days will the provisions last now ?",/ * number1  number0  + number0  number2,Physics
"when a train travels at a speed of number0 kmph , it reaches the destination on time . when the same train travels at a speed of number1 kmph , it reaches its destination number2 min late . what is the length of journey ?",* 60  / * / number2  60  number1  number1,Physics
a cistern number0 m long and number1 m wide contains water up to a breadth of number2 m number3 cm . find the total area of the wet surface .,+ * 2  + * + / number3  100  number2  number1  * + / number3  100  number2  number0  * number1  number0,Physics
"the average speed of a car decreased by number0 miles per hour every successive number1 - minutes interval . if the car traveled number0.number2 miles in the seventh number1 - minute interval , what was the average speed of the car , in miles per hour , in the first number1 minute interval ?",+ + + + / number0.number2  / number1  60  number0  number0  number0  number0,Physics
a certain number of workers can do a work in number0 days . if there were number1 workers more it could be finished in number1 days less . how many workers are there ?,/ * - number0  number1  number1  - number0  - number0  number1,Physics
"a train traveled the first d miles of its journey it an average speed of number0 miles per hour , the next d miles of its journey at an average speed of y miles per hour , and the final d miles of its journey at an average speed of number1 miles per hour . if the train ’ s average speed over the total distance was number2 miles per hour , what is the value of y ?",/ + * * 4  2  10  * 100  4  - / * + * * 4  2  10  * 100  4  3  number2  + * 4  2  3,Physics
"a man can row upstream at number0 kmph and downstream at number1 kmph , and then find the speed of the man in still water ?",/ + number0  number1  2,Physics
a dog takes number0 leaps for every number1 leaps of a hare but number2 leaps of a dog are equal to number0 leaps of the hare . compare their speeds ?,/ * number0  number2  number1,Physics
"the speed of a subway train is represented by the equation z = s ^ number0 + number0 s for all situations where number1 ≤ s ≤ number2 , where z is the rate of speed in kilometers per hour and s is the time in seconds from the moment the train starts moving . in kilometers per hour , how much faster is the subway train moving after number2 seconds than it was moving after number3 seconds ?",- + ^ number2  number0  * number2  number0  + ^ number3  number0  * number3  number0,Physics
a boat having a length number0 m and breadth number1 m is floating on a lake . the boat sinks by number2 cm when a man gets on it . the mass of the man is :,* * * number0  number1  / number2  100  1000,Physics
"excluding stoppages , the speed of a bus is number0 kmph and including stoppages , it is number1 kmph . for how many minutes does the bus stop per hour ?",* 60  / - number0  number1  number0,Physics
"a taxi leaves point a number0 hours after a bus left the same spot . the bus is traveling number1 mph slower than the taxi . find the speed of the taxi , if it overtakes the bus in three hours .",/ + * number0  number1  * number0  number1  - + number0  number0  number0,Physics
"a can finish a work in number0 days and b can do the same work in number1 days . b worked for number2 days and left the job . in how many days , a alone can finish the remaining work ?",/ * * / 1  number1  number2  number0  2,Physics
two trains are moving in opposite directions with speed of number0 km / hr and number0 km / hr respectively . their lengths are number1.number2 km and number3.number4 km respectively . the slower train cross the faster train in - - - seconds,* / + number1.number2  number3.number4  + number0  number0  3600,Physics
"a can do a piece of work in number0 days ; b can do the same in number1 days . a started alone but left the work after number2 days , then b worked at it for number2 days . c finished the remaining work in number2 days . c alone can do the whole work in ?",/ number2  - 1  / + number2  number2  number0,Physics
a car gets number0 kilometers per gallon of gasoline . how many gallons of gasoline would the car need to travel number1 kilometers ?,/ number1  number0,Physics
"hcf of two numbers is number0 and their lcm is number1 . if their sum is number2 , then the numbers are :",/ number1  number0,Physics
the sector of a circle has radius of number0 cm and central angle number1 o . find its perimeter ?,* * 2  / * - number0  3  2  + 4  3  number0,Physics
"a circular rim number0 inches in diameter rotates the same number of inches per second as a circular rim number1 inches in diameter . if the smaller rim makes x revolutions per second , how many revolutions per second does the larger rim makes in terms of x ?",* * * 2  3  10  / number0  number1,Physics
"walking with number0 / number1 of my usual speed , i miss the bus by number0 minutes . what is my usual time ?",* / 3.number2  / number1  number0  number1,Physics
the distance between delhi and mathura is number0 kms . a starts from delhi with a speed of number1 kmph at number2 a . m . for mathura and b starts from mathura with a speed of number3 kmph at number4 p . m . from delhi . when will they meet ?,+ number4  / number0  + number1  number3,Physics
"water boils at number0 ° f or number1 ° c and melts at number2 ° f or number3 ° c . if the temperature of the particular day is number4 ° c , it is equal to",+ * / number4  number1  - number0  number2  number2,Physics
"a monkey ascends a greased pole number0 meters high . he ascends number1 meters in the first minute and then slips down number2 meter in the alternate minute . if this pattern continues until he climbs the pole , in how many minutes would he reach at the top of the pole ?",+ * * 4  number1  number1  number2,Physics
"a pipe can empty number0 / number1 rd of a cistern in number2 mins . in number3 mins , what part of the cistern will be empty ?",/ * / number0  number1  number3  number2,Physics
"points x , y , and z lie , in that order , on a straight railroad track . the distance from point x to point y is twice the distance from point y to point z . a train traveled from point x to point z without stopping . the train ' s average speed when traveling from point x to point y was number0 miles per hour and the train ' s average speed when traveling from point y to point z was number1 miles per hour . what was the train ' s average speed , in miles per hour , when traveling from point x to point z ?",* / 3  + / 2  / number0  number1  1  number1,Physics
"mary passed a certain gas station on a highway while traveling west at a constant speed of number0 miles per hour . then , number1 minutes later , paul passed the same gas station while traveling west at a constant speed of number2 miles per hour . if both drivers maintained their speeds and both remained on the highway for at least number3 hours , how long after he passed the gas station did paul catch up with mary ?",* 60  / * number0  / number1  60  - number2  number0,Physics
two trains number0 m and number1 m long run at the speed of number2 km / hr and number3 km / hr respectively in opposite directions on parallel tracks . the time which they take to cross each other is ?,/ + number0  number1  * + number2  number3  0.2778,Physics
a van takes number0 hours to cover a distance of number1 km . what speed in kph should the van maintain to cover the same distance in number2 / number3 of the previous time ?,/ number1  * / number2  number3  number0,Physics
"a , b and c can do a piece of work in number0 , number1 and number2 days respectively . they start the work together but c leaves number3 days before the completion of the work . in how many days is the work done ?",+ - - number0  - number2  number1  number3  1,Physics
the speed of a car increases by number0 kms after every one hour . if the distance travelling in the first one hour was number1 kms . what was the total distance traveled in number2 hours ?,* + * number0  number1  * - number2  1  number0  / number2  number0,Physics
number0 men and number1 women together can complete a work in number2 days . it takes number3 days for one man alone to complete the same work . how many days will be required for one woman alone to complete the same work ?,* / * 1  number3  - * 1  number3  * number0  number2  * number1  number2,Physics
"two trains running in opposite directions cross a man standing on the platform in number0 seconds and number1 seconds respectively . if they cross each other in number2 seconds , what is the ratio of their speeds ?",/ - number0  number2  - number2  number1,Physics
"a train covers a distance of number0 km in number1 min . if it takes number2 sec to pass a telegraph post , then the length of the train is ?",/ number0  - / number0  number1  number2,Physics
a train number0 m in length crosses a telegraph post in number1 seconds . the speed of the train is ?,* 3_6  / number0  number1,Physics
"if number0 men can reap number1 hectares in number2 days , then how many hectares can number3 men reap in number4 days ?",/ * number3  number4  / * number0  number2  number1,Physics
convert number0 miles into yards ?,/ * * * + 3  2  2  * + 3  2  2  number0  * * + 3  2  2  * + 3  2  2,Physics
"james took a number0 - hour bike ride . in the second hour he traveled number1 miles , which was number2 percent farther than he traveled the first hour . if he traveled number3 percent farther in the third hour than he did in the second hour , how many miles did jose travel during the entire ride ?",+ + * / - 100  number2  100  number1  number1  * / + 100  number3  100  number1,Physics
"a man rows his boat number0 km downstream and number1 km upstream , taking number2 number3 / number2 hours each time . find the speed of the stream ?",/ - / number0  number2  / number1  number2  2,Physics
"if jack walked number0 miles in number1 hour and number2 minutes , what was his rate of walking in miles per hour ?",/ * number0  60  + number2  60,Physics
a train number0 m long running at number1 kmph crosses a platform in number2 sec . what is the length of the platform ?,- * number2  * number1  0.2778  number0,Physics
"tammy climbed a mountain in two days . she spent a total of number0 hours climbing the mountain . on the second day , she walked at an average speed that was half a kilometer per hour faster , but number1 hours less than what she walked on the first day . if the total distance she climbed during the two days is number2 kilometers , how many r kilometers per hour did tammy walk on the second day ?",+ / - number2  / - / + number0  number1  number1  number1  number1  + - / + number0  number1  number1  number1  / + number0  number1  number1  / 1  number1,Physics
"a man sitting in a train which is traveling at number0 kmph observes that a goods train , traveling in opposite direction , takes number1 seconds to pass him . if the goods train is number2 m long , find its speed . ?",- * / number2  number1  3_6  number0,Physics
"in a lake , there is a patch of lily pads . every day , the patch doubles in size . it takes number0 days for the patch to cover the entire lake , how many days would it take the patch to cover half of the lake ?",- number0  1,Physics
"joseph completes work worth $ number0.number1 in hour and his cost to company per hour is $ number2.number3 . ray completes worth worth of $ number2.number4 in an hour and his cost to company is $ number2.number5 per hour . if joseph works for number6 hours , how many must ray work so that company makes at least as much in total gross profit as in case of joseph ?",/ * - number0.number1  number2.number3  / number6  * 10  100  - number2.number7  number2.number5,Physics
"a train number0 m long passes a man , running at number1 km / hr in the same direction in which the train is going , in number2 seconds . the speed of the train is :",/ / - number0  * * number1  0.2778  number1  number1  0.2778,Physics
two trains number0 m and number1 m long run at the speed of number2 km / hr and number3 km / hr respectively in opposite directions on parallel tracks . the time which they take to cross each other is ?,/ + number0  number1  * + number2  number3  0.2778,Physics
a number0 meter long train crosses a man standing on the platform in number1 sec . what is the speed of the train ?,* / number0  number1  3_6,Physics
"number0 beavers , working together in a constant pace , can build a dam in number1 hours . how many hours will it take number1 beavers that work at the same pace , to build the same dam ?",/ * number1  number0  number1,Physics
a company produces number0 bottles of water everyday . if a case can hold number1 bottles of water . how many cases are required by the company to hold its one day production,/ number0  number1,Physics
"number0 boys have provisions for number1 days . if number2 more men join them , for how many days will the provisions last now ?",/ * number0  number1  + number0  number2,Physics
a train passes a station platform in number0 sec and a man standing on the platform in number1 sec . if the speed of the train is number2 km / hr . what is the length of the platform ?,* number1  * number2  0.2778,Physics
"a car averages number0 miles per hour for the first number1 hours of a trip and averages number2 miles per hour for each additional hour of travel time . if the average speed for the entire trip is number3 miles per hour , how many hours long is the trip ?",+ / - * number3  number1  * number0  number1  - number2  number3  number1,Physics
how many seconds will a number0 metre long train take to cross a man running with a speed of number1 km / hr in the direction of the moving train if the speed of the train is number2 km / hr ?,/ number0  * 0.2778  - number2  number1,Physics
"pipe a can fill a tank in number0 minutes and pipe b cam empty it in number1 minutes . if both the pipes are opened together after how many minutes should pipe b be closed , so that the tank is filled in number2 minutes ?",* - / number2  number0  1  number1,Physics
a train travelling at a speed of number0 mph enters a tunnel number1 / number2 miles long . the train is number3 / number4 mile long . how long does it take for the train to pass through the tunnel from the moment the front enters to the moment the rear emerges ?,* / + / number3  number4  / + 3  4  number2  number0  60,Physics
a goods train runs at the speed of number0 km / hr and crosses a number1 m long platform in number2 sec . what is the length of the goods train ?,- * * / number0  3600  1000  number2  number1,Physics
a train number0 m long crosses a platform number0 m long in number1 sec ; find the speed of the train ?,- * number1  * number0  0.2778  number0,Physics
"an outlet pipe empties a tank which is full in number0 hours . if the inlet pipe is kept open , which lets water in at the rate of number1 litres / min then outlet pipe would take number2 hours longer . find the capacity of the tank .",* / * * number1  60  + number0  number2  number2  number0,Physics
how long does a train number0 m long travelling at number1 kmph takes to cross a bridge of number2 m in length ?,/ + number0  number2  * number1  0.2778,Physics
the speed of a train is number0 kmph . what is the distance covered by it in number1 minutes ?,* / number1  60  number0,Physics
two trains are moving at number0 kmph and number1 kmph in opposite directions . their lengths are number2 m and number3 m respectively . the time they will take to pass each other completely is ?,/ + number2  number3  * + number0  number1  0.2778,Physics
a train number0 m long running at number1 kmph crosses a platform in number2 sec . what is the length of the platform ?,- * number2  * number1  0.2778  number0,Physics
"the distance from city a to city b is number0 miles . while driving from city a to city b , cara drives at a constant speed of number1 miles per hour . dan leaves city a number2 minutes after cara . what is the minimum constant speed in miles per hour that dan must exceed in order to arrive in city b before cara ?",/ number0  - / number0  number1  / number2  60,Physics
"if number0 bindres bind number1 books in number2 days , how many binders will be required to bind number3 books in number4 days ?",/ * * number3  number2  number0  * number1  number4,Physics
"when a train travels at a speed of number0 kmph , it reaches the destination on time . when the same train travels at a speed of number1 kmph , it reaches its destination number2 min late . what is the length of journey ?",* 60  / * / number2  60  number1  number1,Physics
a train running at the speed of number0 km / hr crosses a pole in number1 seconds . find the length of the train .,* / * number0  1000  3600  number1,Physics
number0 men working number1 hours per day dig number2 m deep . how many extra men should be put to dig to a depth of number3 m working number4 hours per day ?,- / * / * number0  number1  number2  number3  number4  number0,Physics
nhai employs number0 men to build a highway of number1 km in number2 days working number3 hours a day . if in number4 days they completed number5 / number6 part of work . than how many more employees should nhai hire to finish it in time working number7 hours a day ?,- / * number1  * * number0  number4  number3  * number4  number7  number0,Physics
"a train number0 m long , running with a speed of number1 km / hr will pass a tree in ?",* / number0  * number1  1000  3600,Physics
"a boat sails number0 km of a river towards upstream in number1 hours . how long will it take to cover the same distance downstream , if the speed of current is one - fourth the speed of the boat in still water :",/ number0  number1,Physics
"along a yard number0 metres long , number1 trees are palnted at equal distances , one tree being at each end of the yard . what is the distance between two consecutive trees",/ number0  - number1  1,Physics
"how much time will a train of length number0 m moving at a speed of number1 kmph take to cross another train of length number2 m , moving at number3 kmph in the same direction ?",/ + number0  number2  * - number1  number3  0.2778,Physics
"two trains , one from howrah to patna and the other from patna to howrah , start simultaneously . after they meet , the trains reach their destinations after number0 hours and number1 hours respectively . the ratio of their speeds is ?",/ √ number1  √ number0,Physics
i travel the first part of my journey at number0 kmph and the second part at number1 kmph and cover the total distance of number2 km to my destination in number3 hours . how long did the first part of my journey last ?,/ - * number1  number3  number2  - number1  number0,Physics
a boat having a length number0 m and breadth number1 m is floating on a lake . the boat sinks by number2 cm when a man gets on it . the mass of the man is :,* * * number0  number1  / number2  100  1000,Physics
"a certain car can travel number0 minutes on a gallon of gasoline at number1 miles per hour . if the car had started with a full tank and had number2 gallons of gasoline left in its tank at the end , then what percent of the tank was used to travel number1 miles at number1 mph ?",/ / * number0  number1  * number1  number1  + / * number0  number1  * number1  number1  number2,Physics
"the cross - section of a water channel is a trapezium in shape . if the channel is number0 meters wide at the top and number1 meters wide at the bottom and the area of cross - section is number2 square meters , what is the depth of the channel ( in meters ) ?",/ number2  / + number0  number1  2,Physics
"p , q and r together earn rs . number0 in number1 days . p and r can earn rs . number2 in number3 days . q and r in number4 days can earn rs . number5 . how much amount does r can earn per day ?",- + / number2  number3  / number5  number4  / number0  number1,Physics
"two motor cycles a & b are started from one point at number0 kmph & number1 kmph ; after number2 min b starts returning , at what time they will meet ?",+ number2  * / - * number1  / number2  60  * number0  / number2  60  + number0  number1  60,Physics
two trains a and b start simultaneously in the opposite direction from two points p and q and arrive at their destinations number0 and number1 hours respectively after their meeting each other . at what speed does the second train b travel if the first train travels at number2 km / h,/ * √ number0  number2  √ number1,Physics
the length of a room is number0.number0 m and width is number1.number2 m . what is the cost of paying the floor by slabs at the rate of $ number3 per sq . metre .,* number3  * number0.number0  number1.number2,Physics
"to fill a tank , number0 buckets of water is required . how many buckets of water will be required to fill the same tank if the capacity of the bucket is reduced to number1 - fifths of its present ?",/ number0  / number1  / 10  2,Physics
aarti can do a piece of work in number0 days . in how many days will she complete number1 time of work of same type ?,* 3  number0,Physics
"two passenger trains start at the same hour in the day from two different stations and move towards each other at the rate of number0 kmph and number1 kmph respectively . when they meet , it is found that one train has traveled number2 km more than the other one . the distance between the two stations is ?",+ * / number2  - number1  number0  number0  * / number2  - number1  number0  number1,Physics
a can do a work in number0 days . b can do in number1 days . if both a & b are working together in how many days they can finish the work ?,/ 1  + / 1  number0  / 1  number1,Physics
a number0 metres long train running at the speed of number1 kmph crosses another train running in opposite direction at the speed of number2 kmph in number3 seconds . what is the length of the other train ?,- * * + number1  number2  0.2778  number3  number0,Physics
"a man rows his boat number0 km downstream and number1 km upstream , taking number2 number3 / number2 hours each time . find the speed of the stream ?",/ - / number0  number2  / number1  number2  2,Physics
six women can do a work in number0 days . ten men can complete the same work in number1 days . what is the ratio between the capacity of a man and a woman ?,/ / 1  * number0  number1  / 1  * number1  10,Physics
a boat having a length number0 m and breadth number1 m is floating on a lake . the boat sinks by number2 cm when a man gets into it . the mass of the man is :,* * * number0  number1  / number2  100  1000,Physics
"tanks a and b are each in the shape of a right circular cylinder . the interior of tank a has a height of number0 meters and a circumference of number1 meters , and the interior of tank b has a height of number1 meters and a circumference of number0 meters . the capacity of tank a is what percent of the capacity of tank b ?",* * ^ / number1  number0  2  / number0  number1  100,Physics
a jogger running at number0 kmph along side a railway track is number1 metres ahead of the engine of a number2 metre long train running at number3 kmph in the same direction . in how much time will the train pass the jogger ?,* * / / + number1  number2  1000  - number3  number0  60  60,Physics
a truck covers a distance of number0 km at a certain speed in number1 hours . how much time would a car take at an average speed which is number2 kmph more than that of the speed of the truck to cover a distance which is number3.number4 km more than that travelled by the truck ?,/ + number0  number3.number4  + / number0  number1  number2,Physics
"if i walk at number0 km / h , i miss the bus by number1 minutes . if i walk at number2 km / h , i reach number3 minutes before the arrival of the bus . how far i walk to reach the bus stand ?",* / * number0  number2  - number2  number0  / + number1  number3  60,Physics
"if number0 machines can produce number1 units in number2 hours , how long would it take number2 to produce number3 units ?",/ number3  * / / number1  number2  number0  number1,Physics
"a train number0 m long , running with a speed of number1 km / hr will pass a tree in ?",* / number0  * number1  1000  3600,Physics
"a fill pipe can fill number0 / number1 of cistern in number2 minutes in how many minutes , it can fill number3 / number1 of the cistern ?",/ number2  number0,Physics
the speed of a boat in still water is number0 km / hr and the rate of current is number1 km / hr . the distance travelled downstream in number2 minutes is,* / number2  60  + number0  number1,Physics
"the cross - section of a cannel is a trapezium in shape . if the cannel is number0 m wide at the top and number1 m wide at the bottom and the area of cross - section is number2 sq m , the depth of cannel is ?",/ / / number2  / + number0  number1  2  number1  2,Physics
"a certain car can travel number0 minutes on a gallon of gasoline at number1 miles per hour . if the car had started with a full tank and had number2 gallons of gasoline left in its tank at the end , then what percent of the tank was used to travel number3 miles at number4 mph ?",/ / * number0  number1  * number3  number4  + / * number0  number1  * number3  number4  number2,Physics
"two trains number0 meters and number1 meters in length respectively are running in opposite directions , one at the rate of number2 km and the other at the rate of number3 kmph . in what time will they be completely clear of each other from the moment they meet ?",/ + number0  number1  * + number2  number3  0.2778,Physics
two women started running simultaneously around a circular track of length number0 m from the same point at speeds of number1 km / hr and number2 km / hr . when will they meet for the first time any where on the track if they are moving in opposite directions ?,/ / number0  + * number1  0.2778  * number2  0.2778  3,Physics
a goods train runs at the speed of number0 kmph and crosses a number1 m long platform in number2 seconds . what is the length of the goods train ?,* - number2  / number1  * 0.2778  number0  * 0.2778  number0,Physics
"how much time will a train of length number0 m moving at a speed of number1 kmph take to cross another train of length number2 m , moving at number3 kmph in the same direction ?",/ + number0  number2  * - number1  number3  0.2778,Physics
"nicky and cristina are running a race . since cristina is faster than nicky , she gives him a number0 meter head start . if cristina runs at a pace of number1 meters per second and nicky runs at a pace of only number2 meters per second , how many seconds will nicky have run before cristina catches up to him ?",/ number0  - number1  number2,Physics
"how many bricks , each measuring number0 cm x number1.number0 cm x number2 cm , will be needed to build a wall of number3 m x number2.number2 m x number4.number5 cm ?",/ * * * number3  100  * number2.number2  100  number4.number5  * * number0  number1.number0  number2,Physics
a jeep takes number0 hours to cover a distance of number1 km . how much should the speed in kmph be maintained to cover the same direction in number2 / number3 th of the previous time ?,/ number1  * / number2  number3  number0,Physics
"the sum of all consecutive odd integers from − number0 to number1 , inclusive , is",+ + + + number0  2  + + number0  2  2  + + + number0  2  2  2  number1,Physics
"a train crosses a platform of number0 m in number1 sec , same train crosses another platform of length number2 m in number3 sec . then find the length of the train ?",- * number2  / number1  / number1  3  * number0  / number3  / number1  3,Physics
"one computer can upload number0 megabytes worth of data in number1 seconds . two computers , including this one , working together , can upload number2 megabytes worth of data in number3 seconds . how long would it take for the second computer , working on its own , to upload number0 megabytes of data ?",- / number2  number3  / number0  number1,Physics
a train running at number0 / number1 of its own speed reached a place in number2 hours . how much time could be saved if the train would have run at its own speed ?,* / number0  number1  number2,Physics
"the h . c . f of two numbers is number0 and their l . c . m is number1 . if one of the numbers is number2 , then the other is ?",* number0  number2,Physics
what is the radius of a circle that has a circumference of number0.number1 meters ?,/ number0.number1  * 2  3.141592653589793,Physics
"if it takes a machine number0 ⁄ number1 minute to produce one item , how many items will it produce in number2 hours ?",/ * number2  60  / number0  number1,Physics
a person crosses a number0 m long street in number1 minutes . what is his speed in km per hour ?,/ / number0  1000  / * number1  60  3600,Physics
"a cistern can be filled by a tap in number0 hours while it can be emptied by another tap in number1 hours . if both the taps are opened simultaneously , then after how much time will the cistern get filled ?",/ 1  - / 1  number0  / 1  number1,Physics
"if teena is driving at number0 miles per hour and is currently number1.number2 miles behind joe , who is driving at number3 miles per hour in the same direction then in how many minutes will teena be number4.number2 miles ahead of joe ?",* / + - number0  number3  number1.number2  - number0  number3  60,Physics
"abel can complete a work in number0 days , ben in number1 days and carla in number2 days . all of them began the work together , but abel had to leave after number3 days and ben number4 days before the completion of the work . how long did the work last ?",* + number3  number4  number4,Physics
"a man can do a piece of work in number0 days , but with the help of his son , he can do it in number1 days . in what time can the son do it alone ?",/ * number0  number1  - number0  number1,Physics
"annika hikes at a constant rate of number0 minutes per kilometer . she has hiked number1.number2 kilometers east from the start of a hiking trail when she realizes that she has to be back at the start of the trail in number3 minutes . if annika continues east , then turns around and retraces her path to reach the start of the trail in exactly number3 minutes , for how many kilometers total did she hike east ?",+ / - / number3  number0  number1.number2  2  number1.number2,Physics
"two trains number0 meters and number1 meters in length respectively are running in opposite directions , one at the rate of number2 km and the other at the rate of number3 kmph . in what time will they be completely clear of each other from the moment they meet ?",/ + number0  number1  * + number2  number3  0.2778,Physics
"on sunday morning , pugsley and wednesday are trading pet spiders . if pugsley were to give wednesday two of his spiders , wednesday would then have number0 times as many spiders as pugsley does . but , if wednesday were to give pugsley number1 of her spiders , pugsley would now have number1 fewer spiders than wednesday had before they traded . how many pet spiders does pugsley have before the trading game commences ?",- / + + + + number1  number1  number1  * + number1  number1  number0  2  + number1  2  + number1  number1,Physics
if the weight of number0 meters long rod is number1.number2 kg . what is the weight of number3 meters long rod ?,/ * number3  number1.number2  number0,Physics
"six bells commence tolling together and toll at intervals of number0 , number1 , number2 , number3 , number4 and number5 seconds respectively . in number6 minutes , how many times do they toll together ?",/ number4  / * * number0  * * + number0  3  number0  3  number0  number4,Physics
two goods trains each number0 m long are running in opposite directions on parallel tracks . their speeds are number1 km / hr and number2 km / hr respectively . find the time taken by the slower train to pass the driver of the faster one ?,+ number1  number2,Physics
"a take twice as much time as b or thrice as much time to finish a piece of work . working together , they can finish the work in number0 days . b can do the work alone in ?",* + + 1  2  3  number0,Physics
"a cyclist traveled for two days . on the second day the cyclist traveled number0 hours longer and at an average speed number1 mile per hour slower than she traveled on the first day . if during the two days she traveled a total of number2 miles and spent a total of number3 hours traveling , what was her average speed on the second day ?",/ - number2  * / - number3  number0  2  number1  + / - number3  number0  2  + / - number3  number0  2  number0,Physics
what is the speed of the stream if a canoe rows upstream at number0 km / hr and downstream at number1 km / hr,/ - number1  number0  2,Physics
. a car covers a distance of number0 km in number1 hours . find its speed ?,/ number0  number1,Physics
eden drove an average speed of number0 miles per hour for the first number1 miles of a tripthen at a average speed of number2 miles / hr for the remaining number1 miles of the trip if she made no stops during the trip what was eden ' s avg speed in miles / hr for the entire trip,/ + number1  number1  + / number1  number0  / number1  number2,Physics
two numbers n and number0 have lcm = number1 and gcf = number2 . find n .,/ * number1  number2  number0,Physics
"two trains number0 meters and number1 meters in length respectively are running in opposite directions , one at the rate of number2 km and the other at the rate of number3 kmph . in what time will they be completely clear of each other from the moment they meet ?",/ + number0  number1  * + number2  number3  0.2778,Physics
number0 men or number1 women can finish a work in number1 days . how many days number2 men and number3 women will take to finish this job ?,/ * number1  number1  + * / number1  number0  number2  number3,Physics
eight women can do a work in number0 days . ten men can complete the same work in number1 days . what is the ratio between the capacity of a man and a woman ?,/ / 1  * number0  number1  / 1  * number1  10,Physics
a man can row a distance of number0 km in number1 min with the help of the tide . the direction of the tide reverses with the same speed . now he travels a further number2 km in number3 hours . how much time he would have saved if the direction of tide has not changed ?,- number3  / number2  number0,Physics
a train number0 m in length crosses a telegraph post in number1 seconds . the speed of the train is ?,* 3_6  / number0  number1,Physics
"excluding stoppages , the speed of a train is number0 kmph and including stoppages it is number1 kmph . of how many minutes does the train stop per hour ?",- 60  * 60  / number1  number0,Physics
"worker a takes number0 hours to do a job . worker b takes number1 hours to do the same job . how long should it take both a and b , working together but independently , to do the same job ?",/ 1  + / 1  number0  / 1  number1,Physics
"rectangle dimensions were given , number0 doors dimensions given , number0 windows dimensions given . number1 cm wide wallpaper to be covered on the walls of this room . cost of wallpaper is number2 per meter . . calculate total cost",* number2  1,Physics
the speed of a boat in still water is number0 km / hr and the rate of current is number1 km / hourr . the distance travelled downstream in number2 mins is ?,* / number2  60  + number0  number1,Physics
"a man can row upstream at number0 kmph and downstream at number1 kmph , and then find the speed of the man in still water ?",/ + number0  number1  2,Physics
"working together , jose and jane can complete an assigned task in number0 days . however , if jose worked alone and complete half the work and then jane takes over the task and completes the second half of the task , the task will be completed in number1 days . how long will jose take to complete the task if he worked alone ? assume that jane is more efficient than jose",* 3  number0,Physics
a train number0 m long crosses a platform number0 m long in number1 sec ; find the speed of the train ?,- * number1  * number0  0.2778  number0,Physics
"working at constant rate , pump x pumped out half of the water in a flooded basement in number0 hours . the pump y was started and the two pumps , working independently at their respective constant rates , pumped out rest of the water in number0 hours . how many hours would it have taken pump y , operating alone at its own constant rate , to pump out all of the water that was pumped out of the basement ?",+ + + + + + + + + + + + 1  + number0  number0  1  1  1  1  number0  1  1  1  1  1  1,Physics
