Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement,Grade,Type
"Each chocolate bar in a box cost $ number0 . If a box had number1 bars total and Rachel sold all but number2 bars , how much money would she have made ?",2.0 13.0 4.0,* number0 - number1 number2,18,"[7, 8, 9, 13, 14, 15, 21, 22, 23, 29, 30, 31]","Each chocolate bar in a box cost $ number0 . If a box had number1 bars total and Rachel sold all but number2 bars ,",how much money would she have made ?,,
"Kaleb had number0 pieces of clothing to wash . He put number1 of them in one load , but decided to split the rest into number2 equal loads . How many pieces of clothing could go in each of the small loads ?",39.0 19.0 5.0,/ - number0 number1 number2,4,"[1, 2, 3, 10, 11, 12, 24, 25, 26, 39, 40, 41]","Kaleb had number0 pieces of clothing to wash . He put number1 of them in one load , but decided to split the rest into number2 equal loads .",How many pieces of clothing could go in each of the small loads ?,,
It took Katherine number0 hours to run to Louis 's house at number1 miles per hour . How far is it between Katherine 's house and Louis 's house ?,3.0 8.0,* number0 number1,24,"[2, 3, 4, 11, 12, 13, 26, 27, 28]",It took Katherine number0 hours to run to Louis 's house at number1 miles per hour .,How far is it between Katherine 's house and Louis 's house ?,,
"George had number0 socks . If he threw away number1 old ones that did n't fit and bought number2 new ones , how many socks would he have ?",28.0 4.0 36.0,#NAME?,60,"[1, 2, 3, 8, 9, 10, 17, 18, 19, 25, 26, 27]","George had number0 socks . If he threw away number1 old ones that did n't fit and bought number2 new ones ,",how many socks would he have ?,,
"One stamp costs number0 cents . If the cost of each stamp remains the same , how much would number1 stamps cost ?",34.0 4.0,* number0 number1,134,"[2, 3, 4, 18, 19, 20, 19, 20, 21]","One stamp costs number0 cents . If the cost of each stamp remains the same ,",how much would number1 stamps cost ?,,
Norma has number0 cards . She loses number1 . How many cards will Norma have ?,88.0 70.0,#NAME?,18,"[1, 2, 3, 6, 7, 8, 12, 13, 14]",Norma has number0 cards . She loses number1 .,How many cards will Norma have ?,,
"Debby had number0 coloring books . If she gave away number1 of them , but then bought number2 more , how many would she have total ?",30.0 7.0 35.0,#NAME?,58,"[1, 2, 3, 9, 10, 11, 16, 17, 18, 23, 24, 25]","Debby had number0 coloring books . If she gave away number1 of them , but then bought number2 more ,",how many would she have total ?,,
For Halloween Emily received number0 pieces of candy . She ate number1 pieces then placed the rest into piles with number2 in each pile . How many piles could she make ?,54.0 33.0 7.0,/ - number0 number1 number2,3,"[3, 4, 5, 10, 11, 12, 19, 20, 21, 28, 29, 30]",For Halloween Emily received number0 pieces of candy . She ate number1 pieces then placed the rest into piles with number2 in each pile .,How many piles could she make ?,,
"Tom had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . If he had only washed number2 of them by the time school started , how many did he not wash ?",10.0 25.0 5.0,#NAME?,30,"[3, 4, 5, 8, 9, 10, 20, 21, 22, 33, 34, 35]","Tom had to wash number0 short sleeve shirts and number1 long sleeve shirts before school . If he had only washed number2 of them by the time school started ,",how many did he not wash ?,,
"Robin 's class is going on a field trip to the zoo . If each van can hold number0 people and there are number1 students and number2 adults going , how many vans will they need ?",8.0 22.0 2.0,/ + number1 number2 number0,3,"[17, 18, 19, 22, 23, 24, 25, 26, 27, 33, 34, 35]","Robin 's class is going on a field trip to the zoo . If each van can hold number0 people and there are number1 students and number2 adults going ,",how many vans will they need ?,,
The Silvergrove Public Library used a grant to purchase number0 books . Now the library has a total of number1 books . How many books did the library have before the grant ?,2647.0 8582.0,#NAME?,5935,"[8, 9, 10, 18, 19, 20, 29, 30, 31]",The Silvergrove Public Library used a grant to purchase number0 books . Now the library has a total of number1 books .,How many books did the library have before the grant ?,,
Mrs. Hilt uses number0 ounces of detergent to wash a pound of clothes . How many ounces of soap will she use to wash number1 pounds of clothes ?,2.0 9.0,* number0 number1,18,"[2, 3, 4, 23, 24, 25, 25, 26, 27]",Mrs. Hilt uses number0 ounces of detergent to wash a pound of clothes .,How many ounces of soap will she use to wash number1 pounds of clothes ?,,
Tom was at the beach for number0 days and found number1 seashells every day . How many seashells did Tom find during the beach trip ?,5.0 7.0,* number0 number1,35,"[5, 6, 7, 9, 10, 11, 22, 23, 24]",Tom was at the beach for number0 days and found number1 seashells every day .,How many seashells did Tom find during the beach trip ?,,
"Clarence has number0 oranges . He gets number1 more from Joyce . Later , Clarence buys number2 Skittles at the store . How many oranges does Clarence have in all ?",5.0 3.0 9.0,#NAME?,8,"[1, 2, 3, 6, 7, 8, 15, 16, 17, 27, 28, 29]","Clarence has number0 oranges . He gets number1 more from Joyce . Later , Clarence buys number2 Skittles at the store .",How many oranges does Clarence have in all ?,,
"Students at Arcadia schools are participating in a coat drive . number0 coats have been collected so far . number1 coats were collected from the high schools , and the rest from the elementary schools . How many coats were collected at the elementary schools ?",9437.0 6922.0,#NAME?,2515,"[10, 11, 12, 18, 19, 20, 42, 43, 44]","Students at Arcadia schools are participating in a coat drive . number0 coats have been collected so far . number1 coats were collected from the high schools , and the rest from the elementary schools .",How many coats were collected at the elementary schools ?,,
"Oliver had number0 dollars in January . By March he had spent number1 dollars . If he got another number2 dollars from his mom , how much money would he have ?",33.0 4.0 32.0,#NAME?,61,"[1, 2, 3, 11, 12, 13, 18, 19, 20, 28, 29, 30]","Oliver had number0 dollars in January . By March he had spent number1 dollars . If he got another number2 dollars from his mom ,",how much money would he have ?,,
"Faye was selling her necklaces at a garage sale . She sold number0 bead necklaces and number1 gem stone necklaces . If each necklace cost number2 dollars , how much money did she earn ?",3.0 7.0 7.0,* number1 + number0 number1,70,"[11, 12, 13, 15, 16, 17, 24, 25, 26, 31, 32, 33]","Faye was selling her necklaces at a garage sale . She sold number0 bead necklaces and number1 gem stone necklaces . If each necklace cost number2 dollars ,",how much money did she earn ?,,
"Paul was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it , how many cans did he pick up total ?",6.0 3.0 8.0,* number2 + number0 number1,72,"[10, 11, 12, 18, 19, 20, 26, 27, 28, 37, 38, 39]","Paul was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it ,",how many cans did he pick up total ?,,
"Zoe had number0 bottles of water in her fridge . If she drank number1 of them and then bought number2 more , how many bottles would she have ?",42.0 25.0 30.0,#NAME?,47,"[1, 2, 3, 12, 13, 14, 18, 19, 20, 25, 26, 27]","Zoe had number0 bottles of water in her fridge . If she drank number1 of them and then bought number2 more ,",how many bottles would she have ?,,
Carolyn starts with number0 marbles and number1 oranges . She shares number2 with Diana . How many marbles does Carolyn end with ?,47.0 6.0 42.0,#NAME?,5,"[2, 3, 4, 5, 6, 7, 10, 11, 12, 19, 20, 21]",Carolyn starts with number0 marbles and number1 oranges . She shares number2 with Diana .,How many marbles does Carolyn end with ?,,
"number0 evening , a restaurant served a total of number1 loaf of wheat bread and number2 loaf of white bread . How many loaves were served in all ?",1.0 0.2 0.4,#NAME?,0.6,"[0, 1, 8, 9, 10, 14, 15, 16, 25, 26, 27]","number0 evening , a restaurant served a total of number1 loaf of wheat bread and number2 loaf of white bread .",How many loaves were served in all ?,,
"On a hot day , Sam poured number0 bucket of water into a plastic wading pool . A few minutes later he added another number1 buckets . How much water did Sam pour into the pool ?",1.0 8.8,#NAME?,9.8,"[6, 7, 8, 23, 24, 25, 33, 34, 35]","On a hot day , Sam poured number0 bucket of water into a plastic wading pool . A few minutes later he added another number1 buckets .",How much water did Sam pour into the pool ?,,
Clarence has number0 tickets . He gives number1 to Eugene . How many tickets will Clarence have ?,99.0 7.0,#NAME?,92,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",Clarence has number0 tickets . He gives number1 to Eugene .,How many tickets will Clarence have ?,,
"Gloria has number0 pencils . Lisa has number1 pencils . If Lisa gives all of her pencils to Gloria , how many pencils will Gloria have ?",2.0 99.0,#NAME?,101,"[1, 2, 3, 6, 7, 8, 23, 24, 25]","Gloria has number0 pencils . Lisa has number1 pencils . If Lisa gives all of her pencils to Gloria ,",how many pencils will Gloria have ?,,
A recipe calls for number0 cup of diced green pepper . Give the number of cups of diced green pepper that should be used to make number1 of this recipe .,0.6667 0.5,* number0 number1,0.3333,"[3, 4, 5, 25, 26, 27, 27, 28, 29]",A recipe calls for number0 cup of diced green pepper .,Give the number of cups of diced green pepper that should be used to make number1 of this recipe .,,
Omar and Karen made egg rolls to share at the school potluck . Omar rolled number0 egg rolls . Karen rolled number1 egg rolls . What is the total number of egg rolls Omar and Karen rolled ?,219.0 229.0,#NAME?,448,"[14, 15, 16, 20, 21, 22, 36, 37, 38]",Omar and Karen made egg rolls to share at the school potluck . Omar rolled number0 egg rolls . Karen rolled number1 egg rolls .,What is the total number of egg rolls Omar and Karen rolled ?,,
Tom and his friend were buying trick decks from the magic shop for number0 dollars each . How much did they spend if Tom bought number1 decks and his friend bought number2 decks ?,8.0 3.0 5.0,* number0 + number1 number2,64,"[12, 13, 14, 24, 25, 26, 30, 31, 32, 30, 31, 32]",Tom and his friend were buying trick decks from the magic shop for number0 dollars each .,How much did they spend if Tom bought number1 decks and his friend bought number2 decks ?,,
"Frank was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it , how many cans did he pick up total ?",5.0 3.0 5.0,* number0 + number0 number1,40,"[10, 11, 12, 18, 19, 20, 26, 27, 28, 37, 38, 39]","Frank was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it ,",how many cans did he pick up total ?,,
A perfect score is number0 points . How many points would you have after number1 perfect games in a row ?,21.0 3.0,* number0 number1,63,"[3, 4, 5, 13, 14, 15, 17, 18, 19]",A perfect score is number0 points .,How many points would you have after number1 perfect games in a row ?,,
David has number0 boxes of stuffed toy dogs . Each box has number1 dogs in it . How many dogs are there in all ?,7.0 4.0,* number0 number1,28,"[1, 2, 3, 11, 12, 13, 21, 22, 23]",David has number0 boxes of stuffed toy dogs . Each box has number1 dogs in it .,How many dogs are there in all ?,,
Tom had number0 pennies and number1 dimes in his bank . His dad gave him number2 dimes and number3 nickels . How many dimes does he have now ?,27.0 15.0 33.0 49.0,#NAME?,48,"[1, 2, 3, 4, 4, 5, 6, 7]",Tom had number0 pennies and number1 dimes in his bank . His dad gave him number2 dimes and number3 nickels .,How many dimes does he have now ?,,
"Ned had number0 video games but number1 of them were n't working . If he wanted to sell the working games for $ number2 each , how much money could he earn ?",15.0 6.0 7.0,* number2 - number0 number1,63,"[1, 2, 3, 5, 6, 7, 22, 23, 24, 29, 30, 31]","Ned had number0 video games but number1 of them were n't working . If he wanted to sell the working games for $ number2 each ,",how much money could he earn ?,,
Carla has some marbles . She bought number0 marbles . Now she has number1 marbles . How many did she start with ?,134.0 187.0,#NAME?,53,"[6, 7, 8, 12, 13, 14, 19, 20, 21]",Carla has some marbles . She bought number0 marbles . Now she has number1 marbles .,How many did she start with ?,,
"If books came from all the number0 continents that Bryan had been into and he collected number1 books per continent , how many books does he have from all number2 continents combined ?",4.0 122.0 4.0,* number0 number1,488,"[5, 6, 7, 15, 16, 17, 28, 29, 30, 29, 30, 31]","If books came from all the number0 continents that Bryan had been into and he collected number1 books per continent ,",how many books does he have from all number2 continents combined ?,,
There were number0 geese and number1 ducks in the marsh . How many birds were there in all ?,58.0 37.0,#NAME?,95,"[1, 2, 3, 4, 5, 6, 15, 16, 17]",There were number0 geese and number1 ducks in the marsh .,How many birds were there in all ?,,
Adam has $ number0 to buy an airplane that costs $ number1 . How much change will he get ?,5.0 4.28,#NAME?,0.72,"[2, 3, 4, 10, 11, 12, 16, 17, 18]",Adam has $ number0 to buy an airplane that costs $ number1 .,How much change will he get ?,,
If number0 of number1 pets are cats . How many are cats ?,0.5 8.0,* number0 number1,4,"[0, 1, 2, 2, 3, 4, 9, 10, 11]",If number0 of number1 pets are cats .,How many are cats ?,,
"Diana has number0 erasers . If she shares them among number1 friends , how many erasers does each friend get ?",3840.0 48.0,/ number0 number1,80,"[1, 2, 3, 9, 10, 11, 17, 18, 19]","Diana has number0 erasers . If she shares them among number1 friends ,",how many erasers does each friend get ?,,
Angela has number0 tickets . Annie gives Angela number1 more . How many tickets does Angela have in all ?,11.0 4.0,#NAME?,15,"[1, 2, 3, 7, 8, 9, 16, 17, 18]",Angela has number0 tickets . Annie gives Angela number1 more .,How many tickets does Angela have in all ?,,
Debby bought two coloring books . One had number0 pictures and the other had number1 . After one week she had already colored number2 of the pictures . How many pictures does she still have to color ?,16.0 40.0 33.0,#NAME?,23,"[7, 8, 9, 13, 14, 15, 22, 23, 24, 34, 35, 36]",Debby bought two coloring books . One had number0 pictures and the other had number1 . After one week she had already colored number2 of the pictures .,How many pictures does she still have to color ?,,
"Each chocolate bar in a box cost $ number0 . If a box had number1 bars total and Wendy sold all but number2 bars , how much money would she have made ?",3.0 9.0 3.0,* number0 - number1 number0,18,"[7, 8, 9, 13, 14, 15, 21, 22, 23, 29, 30, 31]","Each chocolate bar in a box cost $ number0 . If a box had number1 bars total and Wendy sold all but number2 bars ,",how much money would she have made ?,,
number0 students are going to the zoo . They have to be divided into groups so that each teacher has one group . There are number1 teachers . How many students will be in each group ?,256.0 8.0,/ number0 number1,32,"[0, 1, 24, 25, 26, 35, 36, 37]",number0 students are going to the zoo . They have to be divided into groups so that each teacher has one group . There are number1 teachers .,How many students will be in each group ?,,
"On Saturday , Sara spent $ number0 each on number1 tickets to a movie theater . Sara also rented a movie for $ number2 , and bought a movie for $ number3 . How much money in total did Sara spend on movies ?",10.62 2.0 1.59 13.95,+ + * number0 number1 number2 number3,36.78,"[5, 6, 7, 8, 6, 7, 8, 9]","On Saturday , Sara spent $ number0 each on number1 tickets to a movie theater . Sara also rented a movie for $ number2 , and bought a movie for $ number3 .",How much money in total did Sara spend on movies ?,,
"Rose has number0 apples and number1 erasers . If she shares the apples among number2 friends , how many apples does each friend get ?",9.0 12.0 3.0,#NAME?,3,"[1, 2, 3, 4, 5, 6, 13, 14, 15, 21, 22, 23]","Rose has number0 apples and number1 erasers . If she shares the apples among number2 friends ,",how many apples does each friend get ?,,
Lizette has number0 stamps . Lizette has number1 more stamps than Minerva . How many stamps does Minerva have ?,813.0 125.0,#NAME?,688,"[1, 2, 3, 6, 7, 8, 16, 17, 18]",Lizette has number0 stamps . Lizette has number1 more stamps than Minerva .,How many stamps does Minerva have ?,,
Kathleen went to the store number0 times last month . She buys number1 bottle caps each time she goes to the store . How many bottle caps did Kathleen buy last month ?,5.0 5.0,* number0 number0,25,"[4, 5, 6, 11, 12, 13, 29, 30, 31]",Kathleen went to the store number0 times last month . She buys number1 bottle caps each time she goes to the store .,How many bottle caps did Kathleen buy last month ?,,
Eve ran number0 mile and walked number1 mile . How much farther did Eve run than walk ?,0.7 0.6,#NAME?,0.1,"[1, 2, 3, 5, 6, 7, 14, 15, 16]",Eve ran number0 mile and walked number1 mile .,How much farther did Eve run than walk ?,,
"While on vacation , Nancy took number0 pictures at the zoo and number1 at the museum . If she later deleted number2 of the pictures , how many pictures from her vacation did she still have ?",49.0 8.0 38.0,#NAME?,19,"[5, 6, 7, 11, 12, 13, 20, 21, 22, 33, 34, 35]","While on vacation , Nancy took number0 pictures at the zoo and number1 at the museum . If she later deleted number2 of the pictures ,",how many pictures from her vacation did she still have ?,,
"Kendra made punch for her friend 's birthday party . She used number0 gallon of grape juice , number1 gallon of cranberry juice , and number2 gallon of club soda . How many gallons of punch did Kendra make ?",0.25 0.375 0.125,#NAME?,0.75,"[11, 12, 13, 17, 18, 19, 24, 25, 26, 36, 37, 38]","Kendra made punch for her friend 's birthday party . She used number0 gallon of grape juice , number1 gallon of cranberry juice , and number2 gallon of club soda .",How many gallons of punch did Kendra make ?,,
Isabella ’ s hair is number0 inches long . By the end of the year her hair is number1 inches long . How much hair did she grow ?,18.0 24.0,#NAME?,6,"[3, 4, 5, 16, 17, 18, 24, 25, 26]",Isabella ’ s hair is number0 inches long . By the end of the year her hair is number1 inches long .,How much hair did she grow ?,,
"Katie uploaded number0 pictures from her phone and number1 from her camera to facebook . If she sorted the pics into number2 different albums with the same amount of pics in each album , how many pictures were in each of the albums ?",30.0 51.0 9.0,/ + number0 number1 number2,9,"[1, 2, 3, 7, 8, 9, 20, 21, 22, 40, 41, 42]","Katie uploaded number0 pictures from her phone and number1 from her camera to facebook . If she sorted the pics into number2 different albums with the same amount of pics in each album ,",how many pictures were in each of the albums ?,,
There are number0 pencils and number1 crayons in the drawer . Joan placed number2 pencils in the drawer . How many pencils are now there in total ?,33.0 44.0 27.0,#NAME?,60,"[1, 2, 3, 4, 5, 6, 12, 13, 14, 24, 25, 26]",There are number0 pencils and number1 crayons in the drawer . Joan placed number2 pencils in the drawer .,How many pencils are now there in total ?,,
There are number0 maple trees and number1 popular trees currently in the park . Park workers will plant number2 maple trees today . How many maple trees will the park have when the workers are finished ?,2.0 5.0 9.0,#NAME?,11,"[1, 2, 3, 5, 6, 7, 17, 18, 19, 33, 34, 35]",There are number0 maple trees and number1 popular trees currently in the park . Park workers will plant number2 maple trees today .,How many maple trees will the park have when the workers are finished ?,,
"On number0 consecutive passes , a football team gain number1 yards , loses number2 yards , gains number3 yards . What number represents the total net net yardage ?",3.0 7.0 31.0 24.0,#NAME?,0,"[0, 1, 2, 8, 9, 10, 12, 13, 14, 16, 17, 18, 25, 26, 27]","On number0 consecutive passes , a football team gain number1 yards , loses number2 yards , gains number3 yards .",What number represents the total net net yardage ?,,
Mary had number0 nickels in her bank . Her dad gave her number1 more nickels . How many nickels does Mary have now ?,7.0 5.0,#NAME?,12,"[1, 2, 3, 11, 12, 13, 20, 21, 22]",Mary had number0 nickels in her bank . Her dad gave her number1 more nickels .,How many nickels does Mary have now ?,,
Martha is inviting number0 friends to a party . She has number1 cookies . How many cookies will each friend get ?,4.0 12.0,/ number1 number0,3,"[2, 3, 4, 10, 11, 12, 18, 19, 20]",Martha is inviting number0 friends to a party . She has number1 cookies .,How many cookies will each friend get ?,,
"Faye had number0 coloring books . If she gave away number1 of them , but then bought number2 more , how many would she have total ?",34.0 3.0 48.0,#NAME?,79,"[1, 2, 3, 9, 10, 11, 16, 17, 18, 23, 24, 25]","Faye had number0 coloring books . If she gave away number1 of them , but then bought number2 more ,",how many would she have total ?,,
"number0 cell phone plan costs number1 dollars per month . The first number2 minutes of use are free . Each minute thereafter costs number3 dollars . For a bill of number4 dollars , how many minutes over number5 was the cell phone in use ?",1.0 49.95 2500.0 0.25 112.45 2500.0,/ - number4 number1 number3,250,"[0, 1, 4, 5, 6, 11, 12, 13, 22, 23, 24, 29, 30, 31, 36, 37, 38, 41, 42, 43]","number0 cell phone plan costs number1 dollars per month . The first number2 minutes of use are free . Each minute thereafter costs number3 dollars . For a bill of number4 dollars ,",how many minutes over number5 was the cell phone in use ?,,
"If Heather bicycled number0 kilometers at number1 kilometers per hour , how long was Heather bicycling ?",40.0 8.0,/ number0 number1,5,"[2, 3, 4, 5, 6, 7, 13, 14, 15]","If Heather bicycled number0 kilometers at number1 kilometers per hour ,",how long was Heather bicycling ?,,
Eugene has number0 pencils . He gets number1 more from Joyce . How many pencils does Eugene have in all ?,51.0 6.0,#NAME?,57,"[1, 2, 3, 6, 7, 8, 17, 18, 19]",Eugene has number0 pencils . He gets number1 more from Joyce .,How many pencils does Eugene have in all ?,,
James had number0 stickers . He got some more stickers for his birthday . Then he had number1 stickers . How many stickers did James get for his birthday ?,39.0 61.0,#NAME?,22,"[1, 2, 3, 16, 17, 18, 28, 29, 30]",James had number0 stickers . He got some more stickers for his birthday . Then he had number1 stickers .,How many stickers did James get for his birthday ?,,
There are number0 boys and some girls on the playground . There are number1 children altogether . How many girls are on the playground ?,40.0 117.0,#NAME?,77,"[1, 2, 3, 12, 13, 14, 21, 22, 23]",There are number0 boys and some girls on the playground . There are number1 children altogether .,How many girls are on the playground ?,,
There are number0 crayons in the drawer . Benny placed number1 crayons in the drawer . How many crayons are now there in total ?,9.0 3.0,#NAME?,12,"[1, 2, 3, 9, 10, 11, 21, 22, 23]",There are number0 crayons in the drawer . Benny placed number1 crayons in the drawer .,How many crayons are now there in total ?,,
"Dan joined his school 's band . He bought a clarinet for $ number0 , and a song book which was $ number1 . Dan found $ number2 in his pocket . How much did Dan spend at the music store ?",130.3 11.24 12.32,#NAME?,141.54,"[12, 13, 14, 21, 22, 23, 26, 27, 28, 38, 39, 40]","Dan joined his school 's band . He bought a clarinet for $ number0 , and a song book which was $ number1 . Dan found $ number2 in his pocket .",How much did Dan spend at the music store ?,,
"Ryan has number0 marbles and number1 blocks . If he shares the marbles among number2 friends , how many marbles does each friend get ?",72.0 17.0 9.0,/ number0 number2,8,"[1, 2, 3, 4, 5, 6, 13, 14, 15, 21, 22, 23]","Ryan has number0 marbles and number1 blocks . If he shares the marbles among number2 friends ,",how many marbles does each friend get ?,,
Mrs. Sheridan has number0 cats . How many more cats does Mrs. Sheridan need to have number1 cats ?,11.0 43.0,#NAME?,32,"[2, 3, 4, 15, 16, 17, 15, 16, 17]",Mrs. Sheridan has number0 cats .,How many more cats does Mrs. Sheridan need to have number1 cats ?,,
Martha starts with number0 cards . She gets number1 more from Emily . How many cards does Martha end with ?,3.0 76.0,#NAME?,79,"[2, 3, 4, 7, 8, 9, 17, 18, 19]",Martha starts with number0 cards . She gets number1 more from Emily .,How many cards does Martha end with ?,,
"John had number0 socks . If he threw away number1 old ones that did n't fit and bought number2 new ones , how many socks would he have ?",33.0 19.0 13.0,#NAME?,27,"[1, 2, 3, 8, 9, 10, 17, 18, 19, 25, 26, 27]","John had number0 socks . If he threw away number1 old ones that did n't fit and bought number2 new ones ,",how many socks would he have ?,,
"Last year , egg producers in Douglas County produced number0 eggs . This year , those same farms produced number1 eggs . How many more eggs did the farms produce this year ?",1416.0 4636.0,#NAME?,3220,"[8, 9, 10, 18, 19, 20, 29, 30, 31]","Last year , egg producers in Douglas County produced number0 eggs . This year , those same farms produced number1 eggs .",How many more eggs did the farms produce this year ?,,
"Mark has number0 trees in his backyard . If he plants number1 more , how many trees will he have ?",13.0 12.0,#NAME?,25,"[1, 2, 3, 10, 11, 12, 17, 18, 19]","Mark has number0 trees in his backyard . If he plants number1 more ,",how many trees will he have ?,,
"Roger had number0 books . If he sold number1 of them and used the money he earned to buy number2 new books , how many books would Roger have ?",25.0 21.0 30.0,#NAME?,34,"[1, 2, 3, 7, 8, 9, 18, 19, 20, 26, 27, 28]","Roger had number0 books . If he sold number1 of them and used the money he earned to buy number2 new books ,",how many books would Roger have ?,,
"The total number of students absent from B. Jones High School on a Monday after a significant snow fall was number0 . The total attendance that day was number1 . How many students , in total , attend B. Jones High School ?",218.0 1487.0,#NAME?,1705,"[19, 20, 21, 27, 28, 29, 39, 40, 41]",The total number of students absent from B. Jones High School on a Monday after a significant snow fall was number0 . The total attendance that day was number1 .,"How many students , in total , attend B. Jones High School ?",,
"Molly owns the Wafting Pie Company . This morning , her employees used number0 eggs to bake pumpkin pies . If her employees used a total of number1 eggs today , how many eggs did they use in the afternoon ?",816.0 1339.0,#NAME?,523,"[12, 13, 14, 26, 27, 28, 37, 38, 39]","Molly owns the Wafting Pie Company . This morning , her employees used number0 eggs to bake pumpkin pies . If her employees used a total of number1 eggs today ,",how many eggs did they use in the afternoon ?,,
Ellen went to a garage sale to buy chairs . Each chair is number0 dollars . How much did Ellen spend for the number1 chairs she bought ?,15.0 12.0,* number0 number1,180,"[12, 13, 14, 22, 23, 24, 24, 25, 26]",Ellen went to a garage sale to buy chairs . Each chair is number0 dollars .,How much did Ellen spend for the number1 chairs she bought ?,,
"Grace has number0 jellybeans in her pocket . She has number1 red ones , number2 green ones , and number3 blue ones . What is the minimum number of jellybeans she must take out of her pocket to ensure that she has one of each color ?",16.0 8.0 4.0 4.0,+ + number1 number2 1.0,13,"[1, 2, 3, 9, 10, 11, 13, 14, 15, 18, 19, 20, 43, 44, 45]","Grace has number0 jellybeans in her pocket . She has number1 red ones , number2 green ones , and number3 blue ones .",What is the minimum number of jellybeans she must take out of her pocket to ensure that she has one of each color ?,,
"Tom had number0 dollars . If he spent number1 bucks on a new game , how many number2 dollar toys could he buy with the money he had left ?",57.0 49.0 4.0,/ - number0 number1 number2,2,"[1, 2, 3, 7, 8, 9, 16, 17, 18, 26, 27, 28]","Tom had number0 dollars . If he spent number1 bucks on a new game ,",how many number2 dollar toys could he buy with the money he had left ?,,
"Rachel was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books , how many books did she have total ?",9.0 6.0 2.0,* number0 + number1 number2,72,"[13, 14, 15, 21, 22, 23, 27, 28, 29, 38, 39, 40]","Rachel was organizing her book case making sure each of the shelves had exactly number0 books on it . If she had number1 shelves of mystery books and number2 shelves of picture books ,",how many books did she have total ?,,
"While playing a trivia game , George answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points , what was his final score ?",6.0 4.0 3.0,* number2 + number0 number1,30,"[7, 8, 9, 15, 16, 17, 28, 29, 30, 34, 35, 36]","While playing a trivia game , George answered number0 questions correct in the first half and number1 questions correct in the second half . If each question was worth number2 points ,",what was his final score ?,,
Dan bought number0 dozen eggs from the grocery store to bake some cakes . How many eggs did Dan buy ?,9,* number0 12.0,108,"[1, 2, 3, 19, 20, 21]",Dan bought number0 dozen eggs from the grocery store to bake some cakes .,How many eggs did Dan buy ?,,
Haley 's favorite band was holding a concert where tickets were number0 dollars each . Haley bought number1 tickets for herself and her friends and number2 extra tickets in case anyone else wanted to go . How much did she spend ?,4.0 3.0 5.0,* number0 + number1 number2,32,"[10, 11, 12, 16, 17, 18, 24, 25, 26, 38, 39, 40]",Haley 's favorite band was holding a concert where tickets were number0 dollars each . Haley bought number1 tickets for herself and her friends and number2 extra tickets in case anyone else wanted to go .,How much did she spend ?,,
"White t - shirts can be purchased in packages of number0 . If Mom buys number1 packages , how many white t - shirts will Mom have ?",6.0 71.0,* number0 number1,426,"[9, 10, 11, 14, 15, 16, 24, 25, 26]","White t - shirts can be purchased in packages of number0 . If Mom buys number1 packages ,",how many white t - shirts will Mom have ?,,
"Melanie , Benny , Sally , and Jessica each have number0 baseball cards . How many baseball cards do they have in all ?",3,* 4.0 number0,12,"[9, 10, 11, 22, 23, 24]","Melanie , Benny , Sally , and Jessica each have number0 baseball cards .",How many baseball cards do they have in all ?,,
She counted her crayons and found out that she has number0 crayons which she will place in crayon boxes . Every box can contain number1 crayons . How many boxes does she need ?,80.0 8.0,/ number0 number1,10,"[9, 10, 11, 23, 24, 25, 30, 31, 32]",She counted her crayons and found out that she has number0 crayons which she will place in crayon boxes . Every box can contain number1 crayons .,How many boxes does she need ?,,
"A book is on sale for number0 % off . If the regular price is number1 dollars , what is the sale price ?",10.0 27.9,* - 1.0 * number0 0.01 number1,25.11,"[5, 6, 7, 14, 15, 16, 20, 21, 22]","A book is on sale for number0 % off . If the regular price is number1 dollars ,",what is the sale price ?,,
Jason found number0 seashells and number1 starfish on the beach . He gave number2 of the seashells to Tim . How many seashells does Jason now have ?,49.0 48.0 13.0,#NAME?,36,"[1, 2, 3, 4, 5, 6, 12, 13, 14, 24, 25, 26]",Jason found number0 seashells and number1 starfish on the beach . He gave number2 of the seashells to Tim .,How many seashells does Jason now have ?,,
"After eating at the restaurant , Sally , Sam , and Alyssa decided to divide the bill evenly . If each person paid number0 dollars , what was the total of the bill ?",45,* number0 3.0,135,"[22, 23, 24, 30, 31, 32]","After eating at the restaurant , Sally , Sam , and Alyssa decided to divide the bill evenly . If each person paid number0 dollars ,",what was the total of the bill ?,,
