Problem,annotated_formula
"a boat can travel with a speed of number0 km / hr in still water . if the speed of the stream is number1 km / hr , find the time taken by the boat to go number2 km downstream .","/(number2, +(number0, number1))"
the speed of a car is number0 m / s . what is the its speed in kmph .,"*(number0, 3_6)"
the sum of number0 consecutive integers is number1 . how many of them are prime ?,"-(-(10, +(+(1, 2), 3)), 2)"
a mobile battery in number0 hour charges to number1 percent . how much time ( in minute ) will it require more to charge to number2 percent .,"*(/(number2, number1), 60)"
"how many number0 digit numbers are there , if it is known that the first digit is even , the second is odd , the third is prime , the fourth ( units digit ) is divisible by number1 , and the digit number2 can be used only once ?","-(*(*(+(number0, 1), +(number0, 1)), *(number0, number0)), *(*(+(number0, 1), +(number0, 1)), number0))"
"one hour after yolanda started walking from x to y , a distance of number0 miles , bob started walking along the same road from y to x . if yolanda â s walking rate was number1 miles per hour and bob â s was number2 miles per hour , how many miles had bob walked when they met ?","*(/(-(number0, number1), +(number1, number2)), number2)"
"the length of a rectangular plot is number0 metres more than its breadth . if the cost of fencing the plot @ rs . number1.number2 per metre is rs . number3 , what is the length of the plot in metres ?","-(/(/(number3, number1.number2), 2), *(2, number0))"
"a can complete a work in number0 days and b can do the same work in number1 days . if a after doing number2 days , leaves the work , find in how many days b will do the remaining work ?","+(*(number0, number2), /(number0, number2))"
the radius of a wheel is number0.number1 cm . what is the distance covered by the wheel in making number2 resolutions .,"/(*(*(*(/(+(*(+(3, 4), 3), 1), +(3, 4)), number0.number1), 2), number2), 100)"
two stations a and b are number0 km apart on a straight line . one train starts from a at number1 a . m . and travels towards b at number2 kmph . another train starts from b at number3 a . m . and travels towards a at a speed of number4 kmph . at what time will they meet ?,"+(number3, /(-(number0, number2), +(number4, number2)))"
"in a manufacturing plant , it takes number0 machines number1 hours of continuous work to fill number1 standard orders . at this rate , how many hours of continuous work by number2 machines are required to fill number3 standard orders ?","/(/(*(*(number0, number3), number1), number2), number1)"
"a person can swim in still water at number0 km / h . if the speed of water number1 km / h , how many hours will the man take to swim back against the current for number2 km ?","/(number2, -(number0, number1))"
peter can cover a certain distance in number0 hr . number1 min . by covering two - third of the distance at number2 kmph and the rest at number3 kmph . find the total distance .,"/(+(number0, /(number1, -(100, *(4, 10)))), +(/(/(number0, 3), number3), /(/(2, 3), 4)))"
two trains number0 m and number1 m long run at the speed of number2 km / hr and number3 km / hr respectively in opposite directions on parallel tracks . the time which they take to cross each other is ?,"/(+(number0, number1), *(+(number2, number3), 0.2778))"
"if number0 men can build a wall number1 metres long in number2 days , what length of a similar can be built by number3 men in number2 days ?","*(number1, /(*(number3, number2), *(number0, number2)))"
the l . c . m of two numbers is number0 and their h . c . f is number1 . if one number is number2 the other is,"/(*(number1, number0), number2)"
"the distance between west - town to east - town is number0 kilometers . two birds start flying simultaneously towards one another , the first leaving from west - town at a speed of number1 kilometers per minute and the second bird , leaving from east - town , at a speed of number2 kilometers per minute . what will be the distance , in kilometers , between the meeting point and west - town ?","*(number1, number1)"
"two trains , each number0 m long , moving in opposite directions , cross other in number1 sec . if one is moving twice as fast the other , then the speed of the faster train is ?","/(*(*(/(+(number0, number0), *(number1, +(1, 2))), 2), 3600), 1000)"
how long does a train number0 m long traveling at number1 kmph takes to cross a signal post ?,"/(number0, *(number1, 0.2778))"
"a train number0 m long passes a man , running at number1 km / hr in the same direction in which the train is going , in number2 sec . the speed of the train is ?","/(/(-(number0, *(*(number1, 0.2778), number1)), number2), 0.2778)"
a train running at the speed of number0 km / hr crosses a pole in number1 seconds . find the length of the train .,"*(/(*(number0, 1000), 3600), number1)"
"the distance between west - town to east - town is number0 kilometers . two birds start flying simultaneously towards one another , the first leaving from west - town at a speed of number1 kilometers per minute and the second bird , leaving from east - town , at a speed of number2 kilometers per minute . what will be the distance , in kilometers , between the meeting point and west - town ?","*(number1, 4)"
"the length of a rectangular plot is number0 metres more than its breadth . if the cost of fencing the plot @ rs . number1.number2 per metre is rs . number3 , what is the length of the plot in metres ?","-(/(/(number3, number1.number2), 2), *(2, number0))"
two airplanes take off from one airfield at noon . one flies due east at number0 miles per hour while the other flies directly northeast at number1 miles per hour . approximately how many miles apart are the airplanes at number2 p . m . ?,"√(-(^(*(number1, number2), number2), ^(*(number0, number2), number2)))"
"a man goes downstream at number0 kmph , and upstream number1 kmph . the speed of the stream is","/(-(number0, number1), 2)"
"a train overtakes two person who are walking in the same direction in which the train is going , at the rate of number0 kmph and number1 kmph and passes them completely in number2 and number3 seconds respectively . the length of the train is :","*(number2, -(-(*(*(number1, 0.2778), number3), *(number2, *(number0, 0.2778))), *(number0, 0.2778)))"
a is twice as good a workman as b and together they finish a piece in number0 days . in how many days will a alone finish the work ?,"*(+(1, 2), number0)"
if the wheel is number0 cm then the number of revolutions to cover a distance of number1 cm is ?,"/(number1, *(*(2, /(+(+(*(3, 100), *(1, 10)), 4), 100)), number0))"
"it takes avery number0 hours to build a brick wall while tom can do it in number1.number2 hours . if the two start working together and after an hour avery leaves , how much time will it take tom to complete the wall on his own ?","*(/(-(1, +(/(1, number0), /(1, number1.number2))), /(1, number1.number2)), 60)"
"the current of a stream runs at the rate of number0 kmph . a boat goes number1 km and back to the starting point in number2 hours , then find the speed of the boat in still water ?","/(^(number0, number2), number2)"
"number0 machines , each working at the same constant rate , together can complete a certain job in number1 days . how many additional machines , each working at the same constant rate , will be needed to complete the job in number2 days ?","-(/(*(number0, +(4, 1)), number1), +(4, 1))"
"if the population of a certain country increases at the rate of one person every number0 seconds , by how many persons does the population increase in number1 minutes ?","*(/(60, number0), number1)"
"a and b undertake to do a piece of work for rs . number0 . a alone can do it in number1 days while b alone can do it in number2 days . with the help of c , they finish it in number3 days . find the share of a .","*(/(1, +(+(4, number3), 1)), number0)"
a boy is traveling from his house to school at number0 km / hr and reached school number1 hours late . next day he traveled number2 km / hr and reached number3 hour early . then find the distance between house and school ?,"*(+(/(+(*(number1, number0), number2), -(number2, number0)), number1), number0)"
"an empty tank be filled with an inlet pipe ‘ a ’ in number0 minutes . after number1 minutes an outlet pipe ‘ b ’ is opened which can empty the tank in number2 minutes . after number3 minutes another inlet pipe ‘ c ’ opened into the same tank , which can fill the tank in number4 minutes and the tank is filled . find the time taken to fill the tank ?","/(-(+(+(number2, number4), number0), 2), 2)"
a train number0 m long running at number1 kmph crosses a platform in number2 sec . what is the length of the platform ?,"-(*(number2, *(number1, 0.2778)), number0)"
"a boatman can row number0 km downstream in number1 hr . if the speed of the current is number2 km / hr , then find in what time will be able to cover number1 km upstream ?","/(number1, -(-(/(number0, number1), number2), number2))"
"a driver goes on a trip of number0 kilometers , the first number1 kilometers at number2 kilometers per hour and the remaining distance at number3 kilometers per hour . what is the average speed of the entire trip in kilometers per hour ?","/(number0, +(/(number1, number2), /(-(number0, number1), number3)))"
two trains are moving in opposite directions at number0 km / hr and number1 km / hr . their lengths are number2.number3 km and number2.number4 km respectively . the time taken by the slower train to cross the faster train in seconds is ?,"-(/(*(number2.number3, 1000), /(*(number0, 1000), 3600)), /(*(number2.number4, 1000), /(*(number1, 1000), 3600)))"
"the measurements obtained for the interior dimensions of a rectangular box are number0 cm by number0 cm by number1 cm . if each of the three measurements has an error of at most number2 centimeter , which of the following is the closes maximum possible difference , in cubic centimeters , between the actual capacity of the box and the capacity computed using these measurements ?","+(+(*(number0, number0), *(number0, number1)), *(number1, number0))"
"earl can stuff advertising circulars into envelopes at the rate of number0 envelopes per minutes and ellen requires a minutes and half to stuff the same number of envelops . working together , how long will it take earl and ellen to stuff number1 envelopes","/(number1, +(number0, /(number0, /(3, 2))))"
"if number0 / number1 of the air in a tank is removed with each stroke of a vacuum pump , what fraction of the original amount of air has been removed after number1 strokes ?","+(+(+(+(/(number0, number1), /(/(number0, number1), number1)), /(/(/(number0, number1), number1), number1)), /(/(/(/(number0, number1), number1), number1), number1)), /(/(/(/(/(number0, number1), number1), number1), number1), number1))"
the perimeter of a semi circle is number0 cm then the radius is ?,"/(number0, +(2, 3.141592653589793))"
"if a man walks at the rate of number0 kmph , he misses a train by only number1 min . however , if he walks at the rate of number2 kmph he reaches the station number1 minutes before the arrival of the train . the distance covered by him to reach the station is","*(number0, /(+(+(*(number0, number1), *(number2, number1)), number1), 60))"
a train speeds past a pole in number0 seconds and a platform number1 m long in number2 seconds . its length is :,"*(number1, -(2, 1))"
"machine a can process number0 envelopes in number1 hours . machines b and c working together but independently can process the same number of envelopes in number2.number3 hours . if machines a and c working together but independently process number4 envelopes in number5 hour , then how many hours would it take machine b to process number6 envelopes .","/(number6, -(/(number0, number2.number3), -(/(number4, number5), /(number0, number1))))"
two trains are moving in opposite directions at number0 km / hr and number1 km / hr . their lengths are number2.number3 km and number2.number4 km respectively . the time taken by the slower train to cross the faster train in seconds is ?,"-(/(*(number2.number3, 1000), /(*(number0, 1000), 3600)), /(*(number2.number4, 1000), /(*(number1, 1000), 3600)))"
a can do a piece of work in number0 days . b can do it in number1 days . with the assistance of c they completed the work in number2 days . find in how many days can c alone do it ?,"/(*(number0, number1), /(-(*(number0, number1), *(+(/(*(number0, number1), number0), /(*(number0, number1), number1)), number2)), number2))"
how many seconds will a number0 metre long train take to cross a man walking with a speed of number1 km / hr in the direction of the moving train if the speed of the train is number2 km / hr ?,"/(number0, *(0.2778, -(number2, number1)))"
a train passes a station platform in number0 sec and a man standing on the platform in number1 sec . if the speed of the train is number2 km / hr . what is the length of the platform ?,"*(number1, *(number2, 0.2778))"
a train number0 m long can cross an electric pole in number1 sec and then find the speed of the train ?,"/(/(number0, 1000), /(number1, 3600))"
the sum of two consecutive numbers is number0 . the greatest among these three number is :,"/(+(number0, 1), 2)"
"two trains number0 m and number1 m long are running on parallel rails at the rate of number2 kmph and number3 kmph respectively . in how much time will they cross each other , if they are running in the same direction ?","*(3600, /(/(+(number0, number1), 1000), -(number3, number2)))"
a train number0 m long is running with a speed of number1 kmph . in what time will it pass a man who is running at number2 kmph in the same direction in which the train is going ?,"/(number0, *(+(number1, number2), 0.2778))"
"r is the set of positive odd integers less than number0 , and s is the set of the squares of the integers in r . how many elements does the intersection of r and s contain ?","-(-(number0, 4), 4)"
"in an intercollegiate competition that lasted for number0 days , number1 students took part on day number2 , number3 on day number4 and number5 on day number0 . if number6 took part on day number2 and day number4 and number7 took part on day number4 and day number0 and number8 took part on all three days , how many students took part only on day number0 ?","-(number1, +(+(number8, number6), /(+(number8, -(number3, +(+(number6, number7), number8))), number4)))"
a boats man can row in still water at speed of number0 km / hr . it takes number1 hours more to travel the same distance in upstream than in downstream if the speed of the river is number2 km / hr . what is the distance between the two destinations ?,"*(/(*(number1, 4), number1), 10)"
"machines x and y produce bottles at their respective constant rates . machine x produces k bottles in number0 hours and machine y produces k bottles in number1 hours . how many hours does it take machines x and y , working simultaneously , to produce number2 k bottles ?","/(*(number2, /(+(number0, number1), number1)), number1)"
a certain number of men can do a work in number0 days . if there were number1 men more it could be finished in number2 days less . how many men are there ?,"/(*(+(number0, number2), number1), number2)"
number0 men and number1 women together can complete a work in number2 days . it takes number3 days for one man alone to complete the same work . how many days will be required for one woman alone to complete the same work ?,"*(/(*(1, number3), -(*(1, number3), *(number0, number2))), *(number1, number2))"
"a can do a work in number0 days and b in number1 days . if they work on it together for number2 days , then the fraction of the work that is left is","-(1, *(+(/(1, number0), /(1, number1)), number2))"
a man complete a journey in number0 hours . he travels first half of the journey at the rate of number1 km / hr and second half at the rate of number2 km / hr . find the total journey in km,"*(2, /(*(*(number1, number2), number0), +(number1, number2)))"
if the wheel is number0 cm then the number of revolutions to cover a distance of number1 cm is ?,"/(number1, *(*(2, /(+(+(*(3, 100), *(1, 10)), 4), 100)), number0))"
"the speed at which a woman can row a boat in still water is number0 kmph . if she rows downstream , where the speed of current is number1 kmph , what time will he take to cover number2 metres ?","/(number2, *(+(number0, number1), 0.2778))"
"one pipe can fill a tank three times as fast as another pipe . if together the two pipes can fill tank in number0 min , then the slower pipe alone will be able to fill the tank in ?","*(+(1, 4), number0)"
"a train leaves mumabai at number0 am at a speed of number1 kmph . after one hour , another train leaves mumbai in the same direction as that of the first train at a speed of number2 kmph . when and at what distance from mumbai do the two trains meet ?","*(/(*(number1, 1), -(number2, number1)), number2)"
a train number0 m long crosses a platform number1 m long in number2 sec ; find the speed of the train ?,"-(*(number2, *(number1, 0.2778)), number0)"
a space shuttle orbits the earth at about number0 kilometers per second . this speed is equal to how many kilometers per hour ?,"*(number0, 3600)"
number0 machines can do a work in number1 days . how many machines are needed to complete the work in number2 days ?,"/(*(number0, number1), number2)"
a train running at the speed of number0 km / hr crosses a pole in number1 seconds . what is the length of the train ?,"*(/(*(number0, 1000), 3600), number1)"
a person buys number0 local tickets for rs number1 . each first class ticket costs rs number2 and each second class ticket costs rs number3 . what will another lot of number0 tickets in which the numbers of first class and second class tickets are interchanged cost ?,"+(*(/(-(number1, *(number0, number3)), -(number2, number3)), number3), *(number2, number2))"
a train number0 m long running at number1 kmph crosses a platform in number2 sec . what is the length of the platform ?,"-(*(number2, *(number1, 0.2778)), number0)"
"r is the set of positive odd integers less than number0 , and s is the set of the squares of the integers in r . how many elements does the intersection of r and s contain ?","-(-(number0, 4), 4)"
a train running at the speed of number0 km / hr crosses a pole in number1 seconds . find the length of the train .,"*(/(*(number0, 1000), 3600), number1)"
the sum of number0 consecutive numbers is definitely,"+(/(-(number0, 1), *(2, 1)), 1)"
a contractor is engaged for number0 days on the condition thathe receives rs . number1 for each day he works & is fined rs . number2.number3 for each day is absent . he gets rs . number4 in all . for how many days was he absent ?,"-(number0, /(+(*(number2.number5, number0), number4), +(number2.number5, number1)))"
"stalin and heather are number0 miles apart and walk towards each other along the same route . stalin walks at constant rate that is number1 mile per hour faster than heather ' s constant rate of number2 miles / hour . if heather starts her journey number0 minutes after stalin , how far from the original destination has heather walked when the two meet ?","/(*(/(-(number0, *(/(+(number1, number2), 60), number0)), +(number2, +(number1, number2))), number2), 2)"
"a cistern has a leak which would empty the cistern in number0 minutes . a tap is turned on which admits number1 liters a minute into the cistern , and it is emptied in number2 minutes . how many liters does the cistern hold ?","*(number2, number0)"
"two passenger trains start at the same hour in the day from two different stations and move towards each other at the rate of number0 kmph and number1 kmph respectively . when they meet , it is found that one train has traveled number2 km more than the other one . the distance between the two stations is ?","+(*(/(number2, -(number1, number0)), number0), *(/(number2, -(number1, number0)), number1))"
a secret can be told only number0 persons in number1 minutes . the same person tells to number0 more persons and so on . how long will take to tell it to number2 persons ?,"*(+(number0, number1), number1)"
"in what time will a train number0 m long cross an electric pole , it its speed be number1 km / hr ?","/(number0, *(number1, 0.2778))"
"number0 . on level farmland , two runners leave at the same time from the intersection of two country roads . one runner jogs due north at a constant rate of number1 miles per hour while the second runner jogs due east at a constant rate that is number2 miles per hour faster than the first runner ' s rate . how far apart , to the nearest mile , will they be after number3 / number2 hour ?","√(+(^(*(number1, /(number3, number2)), number2), ^(*(-(number1, number2), /(number3, number2)), number2)))"
"two tains are running in opposite directions with the same speed . if the length of each train is number0 metres and they cross each other in number1 seconds , then the speed of each train ( in km / hr ) is :","*(/(/(+(number0, number0), number1), 2), 3_6)"
a taxi company charges $ number0.number1 for the first quarter of a mile and fifteen cents for each additional quarter of a mile . what is the maximum distance someone could travel with $ number2.number3 ?,"/(/(*(-(number2.number3, number0.number1), 100), 3), 4)"
two numbers n and number0 have lcm = number1 and gcf = number2 . find n .,"/(*(number1, number2), number0)"
"if number0 people can do number0 times of a particular work in number0 days , then how many days would it take number1 people to do number1 times of that particular work ?","*(number0, /(number1, number1))"
"the angle between the minute hand and the hour hand of a clock when the time is number0.number1 , is :","/(*(-(*(/(*(3, 4), -(*(3, 4), 1)), *(+(4, 1), -(*(3, 4), 1))), /(60, 2)), -(*(3, 4), 1)), 2)"
"if number0 men do a work in number1 days , in how many days will number2 men do it ?","/(*(number0, number1), number2)"
a trader sells number0 meters of cloth for rs . number1 at the profit of rs . number2 per metre of cloth . what is the cost price of one metre of cloth ?,"-(/(number1, number0), number2)"
a car covers a distance of number0 km in number1 â ½ hours . find its speed ?,"/(number0, number1)"
"a girl goes to her school from her house at a speed of number0 km / hr and returns at a speed of number1 km / hr . if she takes number2 hours in going and coming back , the distance between her school and house is","/(*(number2, *(number0, number1)), +(number0, number1))"
a and b walk around a circular track . they start at number0 a . m . from the same point in the opposite directions . a and b walk at a speed of number1 rounds per hour and number2 rounds per hour respectively . how many times shall they cross each other before number3 : 00 a . m . ?,"+(+(number1, number2), +(number1, number2))"
"a train of length l is traveling at a constant velocity and passes a pole in t seconds . if the same train travelling at the same velocity passes a platform in number0 t seconds , then what is the length of the platform ?","-(number0, 1)"
"john and amanda stand at opposite ends of a straight road and start running towards each other at the same moment . their rates are randomly selected in advance so that john runs at a constant rate of number0 , number1 , number2 , or number3 miles per hour and amanda runs at a constant rate of number1 , number2 , number3 , number4 , or number5 miles per hour . what is the probability that john has traveled farther than amanda by the time they meet ?","/(3, *(number2, number3))"
"while driving from a - ville to b - town , harriet drove at a constant speed of number0 kilometers per hour . upon arriving in b - town , harriet immediately turned and drove back to a - ville at a constant speed of number1 kilometers per hour . if the entire trip took number2 hours , how many minutes did it take harriet to drive from a - ville to b - town ?","*(-(number2, /(*(number0, number2), +(number0, number1))), 60)"
"a , b and c can do a piece of work in number0 days , number1 days and number2 days respectively . they began the work together but c left number3 days before the completion of the work . in how many days was the work completed ?","+(/(-(1, *(+(/(1, number0), /(1, number1)), number3)), +(/(1, *(+(2, 3), *(2, number3))), +(/(1, number0), /(1, number1)))), number3)"
an engine moves at the speed of number0 kmph without any coaches attached to it . speed of the train reduces at the rate that varies directly as the square root of the number of coaches attached . when number1 coaches are attached speed decreases to number2 kmph . what will be the speed of train when number3 coaches are attached .,"-(number0, *(√(number3), /(-(number0, number2), √(number1))))"
"a train covers a distance of number0 km in number1 min . if it takes number2 sec to pass a telegraph post , then the length of the train is ?","/(100.number3, -(/(100.number3, number1), number2))"
a train traveling at number0 kmph crosses a platform in number1 seconds and a man standing on the platform in number2 seconds . what is the length of the platform in meters ?,"-(*(/(*(number0, 1000), 3600), number1), *(/(*(number0, 1000), 3600), number2))"
"excluding stoppages , the speed of a train is number0 kmph and including stoppages it is number1 kmph . of how many minutes does the train stop per hour ?","-(60, *(60, /(number1, number0)))"
number0 men or number1 women do equal amount of work in a day . a job requires number2 men and number0 women to finish the job in number3 days how many woman are required to finish the job in number4 days .,"/(*(+(*(/(number1, number0), number2), number0), number3), number4)"
ajay can walk number0 km in number1 hour . in how many hours he can walk number2 km ?,"/(number2, number0)"
"factory x ' s bulbs work for over number0 hours in number1 % of cases , whereas factory y ' s bulbs work for over number0 hours in number2 % of cases . it is known that factory x supplies number3 % of the total bulbs available . what is the chance that a purchased bulb will work for longer than number0 hours ?","/(+(number1, number2), 2)"
the radius of a wheel is number0.number1 cm . what is the distance covered by the wheel in making number2 resolutions ?,"/(*(*(*(/(+(*(+(3, 4), 3), 1), +(3, 4)), number0.number1), 2), number2), 100)"
a number0 meter long train running at the speed of number1 kmph crosses another train running in the opposite direction at the speed of number2 kmph in number3 seconds . what is the lenght of other train .,"-(*(number3, *(+(number1, number2), 0.2778)), number0)"
the sum of two consecutive number is number0 . which is the larger number ?,"+(+(^(+(+(/(-(-(number0, 10), 2), 4), 2), 2), 2), ^(+(+(+(/(-(-(number0, 10), 2), 4), 2), 2), 2), 2)), +(^(/(-(-(number0, 10), 2), 4), 2), ^(+(/(-(-(number0, 10), 2), 4), 2), 2)))"
a goods train runs at a speed of number0 kmph and crosses a number1 m long platform in number2 seconds . what is the length of the goods train ?,"-(*(*(number0, 0.2778), number2), number1)"
"number0 buckets of water fill a tank when the capacity of each bucket is number1 litres . how many buckets will be needed to fill the same tank , if the capacity of each bucket is number2 litres ?","/(*(number1, number0), number2)"
"james took a number0 - hour bike ride . in the second hour he traveled number1 miles , which was number2 percent farther than he traveled the first hour . if he traveled number3 percent farther in the third hour than he did in the second hour , how many miles did jose travel during the entire ride ?","+(+(*(/(-(100, number2), 100), number1), number1), *(/(+(100, number3), 100), number1))"
an athlete runs number0 metres race in number1 seconds . what is his speed ?,"*(/(number0, number1), 3_6)"
pipe b that can fill a tank in an hour and pipe a that can fill the tank in half an hour are opened simultaneously when the tank is empty . pipe a is shut number0 minutes before the tank overflows . when will the tank overflow ?,"+(/(-(1, *(number0, /(1, *(1, 60)))), +(/(1, *(/(1, 2), 60)), /(1, *(1, 60)))), number0)"
"working together , tim and tom can type number0 pages in one hour . if they would be able to type number1 pages in one hour if tom increases his typing speed by number2 % , what is the ratio of tom ' s normal typing speed to that of tim ?","/(/(-(number1, number0), /(number2, *(100, 1))), -(number0, /(-(number1, number0), /(number2, *(100, 1)))))"
"a train number0 m long passes a man , running at number1 km / hr in the same direction in which the train is going , in number2 seconds . the speed of the train is ?","/(/(-(number0, *(*(number1, 0.2778), number1)), number2), 0.2778)"
"number0 men , working number1 hours a day can complete a work in number2 days . how many hours a day must number3 men work to complete the same work in number4 days ?","/(*(*(number0, number1), number2), *(number3, number4))"
number0 men can complete a piece of work in number1 days . in how many days can number2 men complete that piece of work ?,"/(*(number1, number0), number2)"
"eight identical machines can produce number0 aluminum cans per hour . if all of the machines work at the same constant rate , how many cans could number1 such machines produce in number2 hours ?","-(*(number2, number0), *(number2, /(*(number1, number0), +(4, 4))))"
"the sum of number0 consecutive even numbers is number1 , find the third number ?","+(/(number1, number0), 1)"
"joe drives number0 miles at number1 miles per hour , and then he drives the next number2 miles at number3 miles per hour . what is his average speed for the entire trip in miles per hour ?","/(+(number0, number2), +(/(number0, number1), /(number2, number3)))"
a car traveled number0 % of the way from town a to town b at an average speed of number1 miles per hour . the car travels at an average speed of s miles per hour for the remaining part of the trip . the average speed for the entire trip was number2 miles per hour . what is s ?,"/(-(+(number2, number1), number0), -(/(+(number2, number1), number2), /(number0, number1)))"
"a car gets number0 miles to the gallon . if it is modified to use a solar panel , it will use only number1 percent as much fuel as it does now . if the fuel tank holds number2 gallons , how many more miles will the car be able to travel , per full tank of fuel , after it has been modified ?","-(*(*(/(number0, number1), 100), number2), *(number0, number2))"
a cistern number0 m long and number1 m wide contains water up to a depth of number2 m number3 cm . the total area of the wet surface is :,"+(*(2, +(*(+(/(number3, 100), number2), number1), *(+(/(number3, 100), number2), number0))), *(number1, number0))"
"jim and cara begin running at the same time and they start at the same place on a straight path . jim runs at number0 miles per hour , and cara runs at number1 miles per hour . after number2 minutes , jim stops to stretch . if it takes jim number3 minutes to stretch and cara continues to run during this time , how many minutes will it take jim to catch up to cara ?","*(-(+(*(number1, /(number3, 60)), *(number1, /(number2, 60))), *(number0, /(number2, 60))), 60)"
"if three painters can complete three rooms in two hours , how many hours number0 painters would it take to do number1 rooms ?","/(*(*(number1, 3), 3), *(3, 3))"
"worker a takes number0 hours to do a job . worker b takes number1 hours to do the same job . how long it take both a & b , working together but independently , to do the same job ?","/(1, +(/(1, number0), /(1, number1)))"
"every day , the value of a stock rises by exactly two dollars in the morning , and then falls by exactly one dollar in the afternoon . if the stock ' s value at the start of the first day is $ number0 , on what day will the stock ' s value first reach $ number1 ?","/(-(number1, number0), -(2, 1))"
how many pieces of number0 cm can be cut from a rope number1.number2 meters long ?,"/(number1.number2, number0)"
"if two painters can complete four rooms in two hours , how many painters would it take to do number0 rooms in number1 hours ?","/(*(*(number1, 3), 3), *(3, 3))"
a tank is filled by number0 pipes with uniform flow . the first two pipes operating simultaneously fill the tan in the same time during which the tank is filled by the third pipe alone . the number1 nd pipe fills the tank number2 hours faster than first pipe and number3 hours slower than third pipe . the time required by first pipe is,"/(+(*(+(number2, number3), number1), √(-(^(*(+(number2, number3), number1), 2), *(4, *(number2, +(number2, number3)))))), 2)"
a train number0 m in length crosses a telegraph post in number1 seconds . the speed of the train is ?,"*(3_6, /(number0, number1))"
"tom , working alone , can paint a room in number0 hours . peter and john , working independently , can paint the same room in number1 hours and number2 hours , respectively . tom starts painting the room and works on his own for two hour . he is then joined by peter and they work together for two hour . finally , john joins them and the three of them work together to finish the room , each one working at his respective rate . what fraction of the whole job was done by peter ?","/(4, +(*(4, 2), 1))"
a van takes number0 hours to cover a distance of number1 km . what speed in kph should the van maintain to cover the same distance in number2 / number3 of the previous time ?,"/(number1, *(/(number2, number3), number0))"
"if number0 parallel lines in a plane is intersected by a family of another number1 parallel lines , how many parallelograms are there in the network thus formed ?","*(/(*(number0, -(number0, 1)), 2), /(*(number1, -(number1, 1)), 2))"
two cars a and b start from boston and new york respectively simultaneously and travel towards each other at constant speeds along the same route . after meeting at a point between boston and new york the two cars a and b proceed to their respective destinations of new york and boston . car a reaches new york number0 minutes after the two cars have met and car b reaches boston number1 minutes after they have met . how long did car a take to cover the distance between boston and new york ?,"+(*(√(/(number0, number1)), number1), number0)"
"two spherical balls lie on the ground touching . if one of the balls has a radius of number0 cm , and the point of contact is number1 cm above the ground , what is the radius of the other ball ?","+(+(number0, number1), 4)"
a train number0 meters long takes number1 seconds to cross a man walking at number2 kmph in the direction opposite to that of the train . find the speed of the train .,"-(/(number0, *(number1, 0.2778)), number2)"
"abel can complete a work in number0 days , ben in number1 days and carla in number2 days . all of them began the work together , but abel had to leave after number3 days and ben number4 days before the completion of the work . how long did the work last ?","*(+(number3, 4.number5), number4)"
"number0 men have provisions for number1 days . if number2 more men join them , for how many days will the provisions last now ?","/(*(number1, number0), +(number0, number2))"
david biked number0 number1 / number2 miles in number3 hours and number4 minutes . what was his average rate of speed in miles per hour ?,"/(+(number0, 0.33), +(number3, /(number4, 60)))"
"in a games hour number0 different types of players came to the ground ? cricket number1 , hokey number2 , football number3 , softball number4 . how many players are present in the ground ?","+(+(number1, number2), +(number3, number4))"
number0 men can complete a piece of work in number1 days . in how many days can number2 men complete that piece of work ?,"/(*(number1, number0), number2)"
"a man traveled a total distance of number0 km . he traveled one - third of the whole trip by plane and the distance traveled by train is one - half of the distance traveled by bus . if he traveled by train , plane and bus , how many kilometers did he travel by bus ?","/(*(/(*(number0, 2), 3), 3), +(2, 3))"
"two trains t number0 and t number1 start simultaneously from two stations x and y respectively towards each other . if they are number2 km apart both number3 and number4 hours after start , then find the distance between the two stations .","+(*(number2, number1), number2)"
"number0 different containers contain number1 litres , number2 litres and number3 litres of mixtures of milk and water respectively . what biggest measure can measure all the different quantities exactly ?","+(+(12, number0), *(*(*(2, 2), 2), 2))"
"number0 persons can complete the work in number1 days . after working for number2 days , number3 more persons added to complete the work fast . in how many more days they will complete the work ?","/(*(-(number1, number2), number0), +(number0, number3))"
speed of a boat in standing water is number0 kmph and the speed of the stream is number1 kmph . a man rows to a place at a distance of number2 km and comes back to the starting point . the total time taken by him is :,"+(/(number2, +(number0, number1)), /(number2, -(number0, number1)))"
a train running at the speed of number0 km / hr crosses a pole in number1 seconds . find the length of the train ?,"*(/(*(number0, 1000), 3600), number1)"
"number0 men took a dip in a water tank number0 m long and number1 m broad on a religious day . if the average displacement of water by a man is number2 m number3 , then the rise in the water level in the tank will be :","/(*(number2, number0), *(number0, number1))"
"a factory produces number0 toys per week . if the workers at this factory work number1 days a week and if these workers make the same number of toys everyday , how many toys are produced each day ?","/(number0, number1)"
a man takes twice as long to row a distance against the stream as to row the same distance in favour of the stream . the ratio of the speed of the boat ( in still water ) and the stream is :,"/(+(1, 2), -(2, 1))"
"dan ’ s car gets number0 miles per gallon . if gas costs $ number1 / gallon , then how many miles can dan ’ s car go on $ number2 of gas ?","/(*(number2, number0), number1)"
"a boy want to make a cuboid of dimension number0 m , number1 m , number2 m from small cubes of . 04 m number4 . later he realized he can make same cuboid by making it hollow . then it takes some cubes less . what is the no . of these cubes ?","-(/(*(*(number0, number1), number2), /(number3, 100)), /(*(*(-(number0, 1), -(number1, 1)), -(number2, 1)), /(number3, 100)))"
